date,rainfall_mean_mm,rainfall_max_mm,rainfall_total_mm,heavy_rain_pixels,extreme_rain_pixels
2024-12-13,4.320754051208496,234.87997436523438,403014.03125,2107,655
2024-12-14,4.28580904006958,287.08502197265625,399754.5625,1375,316
2024-12-15,3.4798858165740967,194.3199920654297,324582.875,1258,196
2024-12-16,3.2136082649230957,281.0149841308594,299746.09375,1075,63
2024-12-17,3.7726402282714844,224.39999389648438,351889.25,1461,222
2024-12-18,3.6528310775756836,362.0550231933594,340714.15625,1786,519
2024-12-19,4.063024520874023,231.5500030517578,378974.53125,2341,601
2024-12-20,4.632814884185791,336.21502685546875,432121.1875,2297,509
2024-12-21,2.492943525314331,181.24501037597656,232526.8125,674,64
2024-12-22,1.0200440883636475,144.86001586914062,95143.59375,171,14
2024-12-23,1.32087242603302,137.83998107910156,123203.0546875,203,13
2024-12-24,0.8992032408714294,99.3899917602539,83872.28125,151,0
2024-12-25,0.5531322956085205,89.5199966430664,51592.86328125,56,0
2024-12-26,0.30975139141082764,36.989994049072266,28891.75,0,0
2024-12-27,1.4601095914840698,99.63499450683594,136190.265625,50,0
2024-12-28,1.1451363563537598,87.30001068115234,106811.453125,44,0
2024-12-29,1.6764144897460938,171.47998046875,156365.890625,443,18
2024-12-30,2.861565113067627,298.5799865722656,266909.625,1272,239
2024-12-31,1.511551022529602,180.72500610351562,140988.40625,471,59
