state,district,latitude,longitude,coordinate_source
Karnataka,Bangalore Urban,13.0,77.583333,cache/manual
Karnataka,Belagavi,16.1587846,74.888862,cache/manual
Karnataka,Bidar,18.0207297,77.2487204,cache/manual
Karnataka,Chamarajanagar,11.9544201,77.1069086,cache/manual
Karnataka,Chikkamagaluru,13.4058699,75.638758,cache/manual
Karnataka,Chitradurga,14.3049174,76.5296667,cache/manual
Karnataka,Dakshina Kannada,12.8226434,75.2265036,cache/manual
Karnataka,Davanagere,14.2558835,75.8303421,cache/manual
Karnataka,Dharwad,15.3707296,75.1332867,cache/manual
Karnataka,Gadag,15.416692,75.6815801,cache/manual
Karnataka,Hassan,13.0301852,76.1744968,cache/manual
Karnataka,Haveri,14.7180268,75.3656423,cache/manual
Karnataka,Kalaburagi,17.2408957,76.7697439,cache/manual
Karnataka,Kodagu,12.3827332,75.6640715,cache/manual
Karnataka,Kolar,13.1805066,78.2669329,cache/manual
Karnataka,Koppal,15.5748238,76.3118494,cache/manual
Karnataka,Mandya,12.6368939,76.7275477,cache/manual
Karnataka,Mysuru,12.3041464,76.6529521,cache/manual
Karnataka,Raichur,16.0547194,76.9003647,cache/manual
Karnataka,Shivamogga,13.9326093,75.574978,cache/manual
Karnataka,Tumakuru,13.4192512,76.8810004,cache/manual
Karnataka,Udupi,13.5269784,74.8731879,cache/manual
Karnataka,Uttara Kannada,14.7253795,74.6403389,cache/manual
Karnataka,Vijayapura,16.814415,75.8933856,cache/manual
Kerala,Alappuzha,9.5003416,76.4123364,cache/manual
Kerala,Ernakulam,9.9837257,76.2740001,cache/manual
Kerala,Idukki,9.8154785,76.9991599,cache/manual
Kerala,Kannur,11.8763836,75.3737973,cache/manual
Kerala,Kasaragod,12.4221964,75.1904446,cache/manual
Kerala,Kollam,8.8870533,76.5906696,cache/manual
Kerala,Kottayam,9.6287383,76.6455326,cache/manual
Kerala,Kozhikode,11.2450558,75.7754716,cache/manual
Kerala,Malappuram,11.1065685,76.1101742,cache/manual
Kerala,Palakkad,10.7873692,76.4742172,cache/manual
Kerala,Pattanamtitta,9.2648,76.787,cache/manual
Kerala,Thiruvananthapuram,8.4882267,76.947551,cache/manual
Kerala,Thrissur,10.5270099,76.214621,cache/manual
Kerala,Wayanad,11.7151291,76.1271185,cache/manual
Madhya Pradesh,Anuppur,23.0346179,81.7510255,cache/manual
Madhya Pradesh,Ashoknagar,24.6186095,77.8786983,cache/manual
Madhya Pradesh,Balaghat,21.8106,80.181,cache/manual
Madhya Pradesh,Barwani,21.7514248,74.8915957,cache/manual
Madhya Pradesh,Betul,21.8797472,77.8753651,cache/manual
Madhya Pradesh,Bhind,26.5587,78.7873,cache/manual
Madhya Pradesh,Bhopal,23.2599,77.4126,cache/manual
Madhya Pradesh,Burhanpur,21.334867,76.3708803,cache/manual
Madhya Pradesh,Chhatarpur,24.7606089,79.6781776,cache/manual
Madhya Pradesh,Chhindwara,22.2071897,78.798833,cache/manual
Madhya Pradesh,Damoh,23.7981005,79.5419356,cache/manual
Madhya Pradesh,Datia,25.9182947,78.6644962,cache/manual
Madhya Pradesh,Dewas,22.8057498,76.2940408,cache/manual
Madhya Pradesh,Dhar,22.5786572,75.2258637,cache/manual
Madhya Pradesh,Dindori,22.9070871,80.8846924,cache/manual
Madhya Pradesh,Guna,24.5001772,77.2600959,cache/manual
Madhya Pradesh,Gwalior,26.2183,78.1828,cache/manual
Madhya Pradesh,Harda,22.2427973,77.1179173,cache/manual
Madhya Pradesh,Indore,22.7196,75.8577,cache/manual
Madhya Pradesh,Jabalpur,23.1815,79.9864,cache/manual
Madhya Pradesh,Jhabua,22.8869652,74.7243249,cache/manual
Madhya Pradesh,Katni,23.7176393,80.2610181,cache/manual
Madhya Pradesh,Khandwa,21.9769779,76.5675344,cache/manual
Madhya Pradesh,Khargone,21.9544729,75.7521248,cache/manual
Madhya Pradesh,Mandla,22.6871074,80.5816341,cache/manual
Madhya Pradesh,Mandsaur,24.2628148,75.385692,cache/manual
Madhya Pradesh,Morena,26.3849794,77.8612721,cache/manual
Madhya Pradesh,Narmadapuram,22.6002833,77.9269848,cache/manual
Madhya Pradesh,Narsinghpur,22.934556,79.0867849,cache/manual
Madhya Pradesh,Neemuch,24.6305517,75.1829,cache/manual
Madhya Pradesh,Panna,24.4498931,80.1462723,cache/manual
Madhya Pradesh,Raisen,23.2675909,78.1727134,cache/manual
Madhya Pradesh,Rajgarh,23.8716707,76.7744703,cache/manual
Madhya Pradesh,Ratlam,23.50222,74.9551534,cache/manual
Madhya Pradesh,Rewa,24.7560846,81.3810574,cache/manual
Madhya Pradesh,Sagar,23.8083076,78.758254,cache/manual
Madhya Pradesh,Satna,24.6954445,80.7770348,cache/manual
Madhya Pradesh,Sehore,23.1150041,77.0665356,cache/manual
Madhya Pradesh,Seoni,22.2748109,79.7202522,cache/manual
Madhya Pradesh,Shahdol,23.3002343,81.364771,cache/manual
Madhya Pradesh,Shajapur,23.4171002,76.6074794,cache/manual
Madhya Pradesh,Sheopur,25.7499267,76.9212945,cache/manual
Madhya Pradesh,Shivpuri,25.3741215,77.8278866,cache/manual
Madhya Pradesh,Sidhi,24.2112687,81.7000415,cache/manual
Madhya Pradesh,Tikamgarh,24.7437,78.8308,cache/manual
Madhya Pradesh,Ujjain,23.1885131,75.7716562,cache/manual
Madhya Pradesh,Umaria,23.6431837,80.9419078,cache/manual
Madhya Pradesh,Vidisha,23.8463004,77.8370209,cache/manual
Maharashtra,Ahilyanagar,19.092952,74.7493451,cache/manual
Maharashtra,Akola,20.7618122,77.1921157,cache/manual
Maharashtra,Amravati,21.1545412,77.6442962,cache/manual
Maharashtra,Beed,18.9918442,75.909784,cache/manual
Maharashtra,Bhandara,21.1225869,79.794509,cache/manual
Maharashtra,Buldhana,20.562845,76.4086986,cache/manual
Maharashtra,Chandrapur,20.0967555,79.5045475,cache/manual
Maharashtra,Chhatrapati Sambhajinagar,19.877263,75.3390241,cache/manual
Maharashtra,Dharashiv,18.169844,76.1179632,cache/manual
Maharashtra,Dhule,21.1305215,74.4900614,cache/manual
Maharashtra,Gadchiroli,19.7590704,80.1622807,cache/manual
Maharashtra,Gondia,21.455228,80.1962729,cache/manual
Maharashtra,Hingoli,19.5431163,77.1739432,cache/manual
